model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-12-02,"ITD,PC1",2,-0.030172413793103425,-0.0023572882637396767,0.3601428270339966,0.004,-0.03417241379310343,-0.21533189563752853,-0.4448021968464668,-0.07320604953083942,2026-06-11 18:34:50
model3,2025-12-03,CTP,1,-0.028037383177569986,-0.019231142218537067,0.36738714575767517,0.004,-0.03203738317756999,-0.2373319359467566,-0.46258928160544166,-0.0910293557995916,2026-06-11 18:34:50
model3,2025-12-04,"GEE,NVL",2,-0.08481172964919409,-0.03405612285577383,0.36949652433395386,0.004,-0.0888117296491941,-0.3020151336073146,-0.5103176570380784,-0.12198537173077262,2026-06-11 18:34:50
model3,2025-12-05,HID,1,-0.19043062200956928,-0.054729460687687005,0.4086502194404602,0.004,-0.1944306220095693,-0.43493282586773974,-0.605526899567268,-0.17003863881184744,2026-06-11 18:34:50
model3,2025-12-08,"FCN,DCL",2,-0.030269183168316838,-0.04898488453733518,0.36805471777915955,0.004,-0.03426918316831684,-0.4520369476639523,-0.6190451705009712,-0.21069420026009866,2026-06-11 18:34:50
model3,2025-12-09,"BCP,DCL,AFX",3,0.007086132258546078,-0.017073832271551286,0.37504372000694275,0.004,0.003086132258546078,-0.4481540090023025,-0.6178694935126053,-0.22417067509582034,2026-06-11 18:34:50
model3,2025-12-10,,0,0.0,-0.021825221565063904,0.0,0.0,0.0,-0.4481540090023025,-0.6178694935126053,-0.24110332200852802,2026-06-11 18:34:50
model3,2025-12-11,,0,0.0,-0.01057018189474719,0.0,0.0,0.0,-0.4481540090023025,-0.6178694935126053,-0.24912499793421727,2026-06-11 18:34:50
model3,2025-12-12,"VRE,VNP,VOS,GEE",4,0.0582172242016904,0.025813995464719353,0.37851282954216003,0.004,0.054217224201690395,-0.4160270672195855,-0.5971514381680727,-0.22974191403631994,2026-06-11 18:34:50
model3,2025-12-15,"GEE,NVL",2,0.09493595649202058,0.03686325449127281,0.38781365752220154,0.004,0.09093595649202058,-0.3605870382806263,-0.5605180188764515,-0.20134769418948006,2026-06-11 18:34:50
model3,2025-12-16,GEE,1,0.1974345269909139,0.012684052199985401,0.3960915505886078,0.004,0.1934345269909139,-0.2343448426317024,-0.47550702973678816,-0.19121754665294077,2026-06-11 18:34:50
model3,2025-12-17,"GEE,ITD,DGC,VJC",4,0.029617413049888353,0.014970389774460156,0.38593846559524536,0.004,0.025617413049888352,-0.21166811758214832,-0.4620708766757927,-0.1791097580835911,2026-06-11 18:34:50
model3,2025-12-18,DGC,1,-0.09977703455964337,0.0030810882375908936,0.39306214451789856,0.004,-0.10377703455964338,-0.290325535058623,-0.5178955658976476,-0.17658052281486925,2026-06-11 18:34:50
model3,2025-12-19,"DGC,VHM",2,-0.005407293804353119,-0.001112402285772905,0.4312818944454193,0.004,-0.00940729380435312,-0.2941629533960082,-0.5224308639536299,-0.1774964965234399,2026-06-11 18:34:50
model3,2025-12-22,"GEE,DGC,DCL,FCN",4,-0.025808354572614073,-0.005226405474827561,0.38642093539237976,0.004,-0.029808354572614073,-0.3123794461652507,-0.5366664140938371,-0.1817952333370746,2026-06-11 18:34:50
model3,2025-12-23,"DGC,VHM,ITD",3,-0.02390033947301799,-0.0013454327214091767,0.4045363962650299,0.004,-0.02790033947301799,-0.32881381083052585,-0.5495935784298698,-0.18289607280295583,2026-06-11 18:34:50
model3,2025-12-24,"DGC,VHM",2,0.03180907040841896,-0.004006260703889117,0.4000958502292633,0.004,0.02780907040841896,-0.3074640020820756,-0.537068194540022,-0.18616960415747885,2026-06-11 18:34:50
model3,2025-12-25,DGC,1,0.013931888544891802,0.0011946283408759005,0.39780929684638977,0.004,0.009931888544891802,-0.29781566774575763,-0.5324704074443078,-0.18519737930193914,2026-06-11 18:34:50
model3,2025-12-26,"DGC,FCN",2,0.010484622553588063,0.007199672546988863,0.4395671486854553,0.004,0.006484622553588063,-0.2904535300590285,-0.5294386545039513,-0.1793310672424847,2026-06-11 18:34:50
model3,2025-12-29,"DGC,GEE,NVL,DCL",4,0.00032172492779969364,0.014246584846251069,0.4120771586894989,0.004,-0.0036782750722003064,-0.2902252512722163,-0.5311695085710306,-0.1676393376612726,2026-06-11 18:34:50
model3,2025-12-30,DGC,1,-0.036809815950920366,0.008379452197786625,0.4926721155643463,0.004,-0.04080981595092037,-0.31635192913949683,-0.5503023946384263,-0.16066461127988718,2026-06-11 18:34:50
model3,2025-12-31,HDB,1,-0.06060606060606066,0.0058476316392817185,0.3627265691757202,0.004,-0.06460606060606067,-0.35778514555528496,-0.5793555853848165,-0.1557564871048387,2026-06-11 18:34:50
model3,2026-01-05,"VHM,DGW",2,0.014931041592065653,0.02176389615251216,0.3779129385948181,0.004,0.010931041592065652,-0.34819620885252855,-0.5747575037931878,-0.13738245896275636,2026-06-11 18:34:50
model3,2026-01-06,"VRE,PC1,NVL,GEE",4,-0.05844741898586947,0.02761136378331448,0.38501355051994324,0.004,-0.062447418985869474,-0.386292458130303,-0.6013128001244117,-0.11356441223130886,2026-06-11 18:34:50
model3,2026-01-07,"POW,PVT,NVL",3,0.023438111386461496,0.01944690578729487,0.3780277669429779,0.004,0.019438111386461496,-0.3719083124052496,-0.5935630739248736,-0.09632598286946581,2026-06-11 18:34:50
model3,2026-01-08,DGC,1,0.07165605095541405,0.02901048710893505,0.418957382440567,0.004,0.06765605095541405,-0.32690174243428816,-0.566065156544173,-0.07010995944482101,2026-06-11 18:34:50
model3,2026-01-09,"DGC,CTR,DCL,NVL,FCN",5,0.03992435284324354,0.0357232980724216,0.38854748010635376,0.004,0.03592435284324354,-0.30002873010106224,-0.5504763281168881,-0.03689122035149217,2026-06-11 18:34:50
model3,2026-01-12,"VVS,SHS,DGC,VDS,FCN",5,0.029167903503750224,0.016782710571952908,0.3908211588859558,0.004,0.025167903503750224,-0.2796120356452525,-0.5391627597202825,-0.020727644453344518,2026-06-11 18:34:50
model3,2026-01-13,"SHS,DGC,PVT,DRI",4,-0.04436535024744562,0.011574408899134778,0.36919236183166504,0.004,-0.04836535024744562,-0.31157229999789526,-0.5614513142534773,-0.009393145786628643,2026-06-11 18:34:50
model3,2026-01-14,"CTR,BCM,OIL,DGC,CSV",5,0.03494211719860585,-0.0031341092490570687,0.3967667520046234,0.004,0.03094211719860585,-0.28751717862165493,-0.5478816894218137,-0.012497815890598174,2026-06-11 18:34:50
model3,2026-01-15,"GEE,STB,MIG,BCM,DCL",5,0.013956996140383504,-0.001673253046089754,0.3773992359638214,0.004,0.009956996140383504,-0.2775730586335877,-0.5433799491483899,-0.014150156928179558,2026-06-11 18:34:50
model3,2026-01-16,"DGW,DGC,FCN,ACV",4,0.021946898859182884,-0.014455053881335679,0.3808531165122986,0.004,0.017946898859182884,-0.26171802761827023,-0.5351850352786812,-0.028400669528689138,2026-06-11 18:34:50
model3,2026-01-19,"DGC,CTR,ACV",3,-0.041346485728007476,-0.035178820895809565,0.37013646960258484,0.004,-0.04534648572800748,-0.2922433926525966,-0.5562627604425808,-0.06258038835782787,2026-06-11 18:34:50
model3,2026-01-20,"CTR,VNP,OIL,CSV",4,-0.041300440981458686,-0.03081107785293433,0.3770558536052704,0.004,-0.04530044098145869,-0.3214740526435854,-0.5763642530744271,-0.09146329699300226,2026-06-11 18:34:50
model3,2026-01-21,"DGC,OIL,BCM,CTR",4,-0.050226710943811814,-0.021694341095317433,0.36523404717445374,0.004,-0.05422671094381182,-0.3555541792693321,-0.5993366262684259,-0.11117340212565119,2026-06-11 18:34:50
model3,2026-01-22,"DGC,VOS,GEE,DRI,MIG",5,-0.060421608629379106,-0.029404692078139866,0.37898939847946167,0.004,-0.06442160862937911,-0.39449263243235944,-0.625148005323088,-0.13730907454700714,2026-06-11 18:34:50
model3,2026-01-23,"DRI,OIL,VJC,SHS,TTN",5,0.00010115161150427986,-0.0075717935229022825,0.36976155638694763,0.004,-0.0038988483884957203,-0.39443138438635217,-0.6266094964184585,-0.14384119210861868,2026-06-11 18:34:50
model3,2026-01-26,"GEE,OIL,BCM,VCG,NVL",5,0.020871040446264887,0.012589007684032927,0.3700200915336609,0.004,0.016871040446264886,-0.3817925373168911,-0.6203100101302831,-0.1330630022973216,2026-06-11 18:34:50
model3,2026-01-27,"VCG,GEE,DRI,VHM,NVL",5,-0.0042669527564173524,0.02703519886333576,0.3949146866798401,0.004,-0.008266952756417353,-0.3844303993538245,-0.6234488893386205,-0.10962518816244649,2026-06-11 18:34:50
model3,2026-01-28,"VHM,GEE,VOS,PC1,SHS",5,0.030945651542558284,0.029004123192298538,0.390693336725235,0.004,0.026945651542558284,-0.3653811969920362,-0.6133024743227757,-0.08380064743259041,2026-06-11 18:34:50
model3,2026-01-29,"VVS,VCG,DGW,DRI,ACV",5,0.06155781876637143,0.008411288297961115,0.3911738097667694,0.004,0.057557818766371435,-0.3263154477307404,-0.5910450082224418,-0.07609423053974074,2026-06-11 18:34:50
model3,2026-01-30,"NVL,VCG,VHM,GEE,VOS",5,-0.03887962904385693,-0.027211805132979962,0.4015057682991028,0.004,-0.042879629043856934,-0.352508053215546,-0.6085808465654969,-0.10123537429952922,2026-06-11 18:34:50
model3,2026-02-02,"VHM,DGW,GEE,VHC,VCG",5,-0.062036509022994624,-0.02690630168563496,0.4180477559566498,0.004,-0.06603650902299463,-0.39267619321455616,-0.6344288010230474,-0.12541780646300293,2026-06-11 18:34:50
model3,2026-02-03,"GEE,DGW,VHM,VOS,DPR",5,-0.0770489059367857,-0.03616071904922135,0.4157169759273529,0.004,-0.08104890593678571,-0.4394698280767384,-0.6640579467421285,-0.157043327448946,2026-06-11 18:34:50
model3,2026-02-04,"VHM,VOS,MIG,DGW,CTI",5,-0.036597048879933404,-0.02560183551893988,0.4184747338294983,0.004,-0.0405970488799334,-0.4599835781772915,-0.6776962026990635,-0.17862456552919093,2026-06-11 18:34:50
