trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-10-03,"CSM,ANV,VDS,FCN",4,0.04442274058452056,0.03178944843946939,0.36907505989074707,0.004,0.040422740584520556,-0.06800117484813728,-0.2031639549318237,-0.0895395391657372
2025-10-06,"TCI,VDS,HDG,VCI,PTM",5,0.0057298093613894485,0.0023782066478369376,0.38209834694862366,0.004,0.0017298093613894484,-0.06266099925497803,-0.20178558048157214,-0.08737427604518855
2025-10-07,"TCI,IJC",2,-0.01184684246375406,-0.0013933307150052624,0.38059931993484497,0.004,-0.01584684246375406,-0.07376550673193705,-0.21443475863997752,-0.08864586549767872
2025-10-08,"ANV,TCI,IJC",3,-0.011844858718690898,-0.004318032397905963,0.3902699947357178,0.004,-0.0158448587186909,-0.08473662344507549,-0.22688192890364134,-0.09258112217642533
2025-10-09,"TCI,IJC",2,0.005460412012906424,-0.005576340435275787,0.37163597345352173,0.004,0.0014604120129064237,-0.07973890830876162,-0.22575285798521716,-0.09764119875656552
2025-10-10,"TCI,ANV",2,-0.053511676425062216,-0.02017462436806923,0.3798848092556,0.004,-0.05751167642506222,-0.12898362207391778,-0.27028110908980063,-0.11584594861687314
2025-10-13,"LDP,VRE,TCI,ANV",4,-0.06897593919135056,-0.06847640232182879,0.36896899342536926,0.004,-0.07297593919135056,-0.18906279479241772,-0.3235330304996431,-0.17638963715385902
2025-10-14,"GEE,VJC,ANV,TCI",4,0.06314181890112708,-0.041656699776123844,0.3876309096813202,0.004,0.059141818901127075,-0.13785874464101444,-0.28352554349685877,-0.21069852677144518
2025-10-15,"GEE,TCI,HDG,ANV",4,-0.026166150125371962,-0.026836871872226373,0.38517892360687256,0.004,-0.030166150125371962,-0.16041766215801423,-0.3051388195127268,-0.23188090927703942
2025-10-16,"GEE,NLG,TCI",3,-0.024178450582420036,-0.03295337972050497,0.3982582092285156,0.004,-0.028178450582420037,-0.18071746222339935,-0.3247189309487295,-0.2571930293442021
2025-10-17,TCI,1,-0.05116279069767449,-0.027855111854116054,0.35845524072647095,0.004,-0.05516279069767449,-0.22263424322592318,-0.36196931922290665,-0.27788400059783647
2025-10-20,"TCI,SHS,TPB,IJC,PC1",5,-0.021563680788618544,0.011803974523464019,0.37929123640060425,0.004,-0.025563680788618544,-0.2393971102610023,-0.37827973187963726,-0.26936016173790767
2025-10-21,"SAV,NVL,HDB,IJC",4,-0.020642005659930462,0.01048576784329369,0.3957914113998413,0.004,-0.024642005659930463,-0.2550974794159542,-0.3936001662455527,-0.2616988420168297
2025-10-22,HT1,1,-0.14427860696517425,0.011763275887786464,0.41280823945999146,0.004,-0.14827860696517425,-0.36257097741066735,-0.48351628885857545,-0.25301400180720146
