model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2025-01-17,LHC,HOLD,HOLD,0.0994606,0.7872068,0.11333259,3,Construction & Materials,70.51,12260.0,HOLD,-0.0168770387179125,0.01387199,0.7872068,0.01387199,2026-06-03 08:51:00
model3,2025-01-20,LHC,HOLD,HOLD,0.11127834,0.77376866,0.11495299,3,Construction & Materials,70.51,12100.0,HOLD,0.0069493688838462,0.0036746487,0.77376866,0.0036746487,2026-06-03 08:51:00
model3,2025-01-21,LHC,HOLD,HOLD,0.16529924,0.6939569,0.14074382,3,Construction & Materials,71.49,18000.0,HOLD,-0.0109106168694922,-0.024555415,0.6939569,-0.024555415,2026-06-03 08:51:00
model3,2025-01-22,LHC,HOLD,HOLD,0.12372613,0.760467,0.1158069,3,Construction & Materials,71.2,115000.0,HOLD,-0.0165730337078652,-0.00791923,0.760467,-0.00791923,2026-06-03 08:51:00
model3,2025-01-23,LHC,HOLD,HOLD,0.15373771,0.73845077,0.1078115,3,Construction & Materials,71.1,4800.0,HOLD,-0.0222222222222222,-0.045926206,0.73845077,-0.045926206,2026-06-03 08:51:00
model3,2025-01-24,LHC,HOLD,HOLD,0.111469984,0.7294549,0.15907513,3,Construction & Materials,69.32,2350.0,HOLD,0.0072129255626081,0.047605142,0.7294549,0.047605142,2026-06-03 08:51:00
model3,2025-02-03,LHC,HOLD,HOLD,0.1684034,0.6838274,0.14776914,3,Construction & Materials,71.0,16200.0,HOLD,-0.0083098591549296,-0.020634264,0.6838274,-0.020634264,2026-06-03 08:51:00
model3,2025-02-04,LHC,HOLD,HOLD,0.15782174,0.70748204,0.13469623,3,Construction & Materials,70.71,14201.0,BUY,0.0390326686465847,-0.023125514,0.70748204,-0.023125514,2026-06-03 08:51:00
model3,2025-02-05,LHC,HOLD,HOLD,0.1350431,0.7235131,0.14144373,3,Construction & Materials,70.02,15000.0,BUY,0.0492716366752357,0.00640063,0.7235131,0.00640063,2026-06-03 08:51:00
model3,2025-02-06,LHC,HOLD,HOLD,0.14511865,0.7136652,0.14121622,3,Construction & Materials,69.52,12000.0,BUY,0.0525028768699655,-0.0039024353,0.7136652,-0.0039024353,2026-06-03 08:51:00
model3,2025-02-07,LHC,HOLD,HOLD,0.1281462,0.73728865,0.13456511,3,Construction & Materials,69.82,18408.0,BUY,0.0494127757089659,0.0064189136,0.73728865,0.0064189136,2026-06-03 08:51:00
model3,2025-02-10,LHC,HOLD,HOLD,0.12009039,0.72504634,0.1548633,3,Construction & Materials,70.41,57400.0,BUY,0.0406192302229797,0.03477291,0.72504634,0.03477291,2026-06-03 08:51:00
model3,2025-02-11,LHC,HOLD,HOLD,0.3295091,0.44994962,0.22054124,3,Construction & Materials,73.47,179170.0,HOLD,-0.0068054988430652,-0.10896787,0.44994962,-0.10896787,2026-06-03 08:51:00
model3,2025-02-12,LHC,HOLD,HOLD,0.28550768,0.5223136,0.1921787,3,Construction & Materials,73.47,39300.0,HOLD,-0.0093915884034299,-0.09332898,0.5223136,-0.09332898,2026-06-03 08:51:00
model3,2025-02-13,LHC,HOLD,HOLD,0.25119528,0.5707035,0.17810121,3,Construction & Materials,73.17,16601.0,HOLD,-0.005330053300533,-0.07309407,0.5707035,-0.07309407,2026-06-03 08:51:00
model3,2025-02-14,LHC,HOLD,HOLD,0.26983154,0.55227846,0.17789002,3,Construction & Materials,73.27,5800.0,HOLD,-0.0066875938310357,-0.09194152,0.55227846,-0.09194152,2026-06-03 08:51:00
model3,2025-02-17,LHC,HOLD,HOLD,0.2189304,0.5977697,0.18329997,3,Construction & Materials,73.27,14564.0,HOLD,-0.0053227787634775,-0.03563042,0.5977697,-0.03563042,2026-06-03 08:51:00
model3,2025-02-18,LHC,HOLD,HOLD,0.19270296,0.62185895,0.18543811,3,Construction & Materials,72.97,9907.0,HOLD,-0.00671508839249,-0.0072648525,0.62185895,-0.0072648525,2026-06-03 08:51:00
model3,2025-02-19,LHC,HOLD,HOLD,0.16332036,0.689523,0.14715661,3,Construction & Materials,72.78,4950.0,HOLD,0.0026106073097005,-0.016163751,0.689523,-0.016163751,2026-06-03 08:51:00
model3,2025-02-20,LHC,HOLD,HOLD,0.16730592,0.66269374,0.17000039,3,Construction & Materials,72.78,23464.0,HOLD,-0.0041220115416322,0.0026944727,0.66269374,0.0026944727,2026-06-03 08:51:00
model3,2025-02-21,LHC,HOLD,HOLD,0.15938976,0.6455222,0.19508806,3,Construction & Materials,72.78,30900.0,HOLD,0.0094806265457543,0.035698295,0.6455222,0.035698295,2026-06-03 08:51:00
model3,2025-02-24,LHC,HOLD,HOLD,0.1502754,0.653199,0.1965256,3,Construction & Materials,72.88,40701.0,HOLD,0.0094676180021953,0.04625021,0.653199,0.04625021,2026-06-03 08:51:00
model3,2025-02-25,LHC,HOLD,HOLD,0.13247687,0.6839783,0.1835448,3,Construction & Materials,72.48,36201.0,HOLD,0.0162803532008828,0.051067933,0.6839783,0.051067933,2026-06-03 08:51:00
model3,2025-02-26,LHC,HOLD,HOLD,0.13910711,0.68865955,0.17223337,3,Construction & Materials,72.97,20900.0,HOLD,0.0068521310127449,0.033126265,0.68865955,0.033126265,2026-06-03 08:51:00
model3,2025-02-27,LHC,HOLD,HOLD,0.12376077,0.719795,0.15644425,3,Construction & Materials,72.48,19600.0,HOLD,0.0150386313465782,0.032683484,0.719795,0.032683484,2026-06-03 08:51:00
model3,2025-02-28,LHC,HOLD,HOLD,0.16925906,0.63214344,0.19859749,3,Construction & Materials,73.47,31502.0,HOLD,0.0039471893289779,0.029338434,0.63214344,0.029338434,2026-06-03 08:51:00
model3,2025-03-03,LHC,HOLD,HOLD,0.18444188,0.6558399,0.1597182,3,Construction & Materials,73.57,15301.0,HOLD,0.0012233247247519,-0.024723679,0.6558399,-0.024723679,2026-06-03 08:51:00
model3,2025-03-04,LHC,HOLD,HOLD,0.17564768,0.64193946,0.18241283,3,Construction & Materials,73.66,35300.0,HOLD,-0.0105891935921803,0.006765157,0.64193946,0.006765157,2026-06-03 08:51:00
model3,2025-03-05,LHC,HOLD,HOLD,0.1481669,0.723597,0.12823611,3,Construction & Materials,73.47,7700.0,HOLD,-0.002722199537226,-0.01993078,0.723597,-0.01993078,2026-06-03 08:51:00
model3,2025-03-06,LHC,HOLD,HOLD,0.15365447,0.65855765,0.18778789,3,Construction & Materials,73.57,56201.0,HOLD,-0.0013592496941687,0.03413342,0.65855765,0.03413342,2026-06-03 08:51:00
model3,2025-03-07,LHC,HOLD,HOLD,0.10920718,0.7456652,0.14512762,3,Construction & Materials,73.76,10016.0,SELL,-0.0294197396963123,0.03592044,0.7456652,0.03592044,2026-06-03 08:51:00
model3,2025-03-10,LHC,HOLD,HOLD,0.12032674,0.70733714,0.17233613,3,Construction & Materials,73.66,117300.0,HOLD,-0.0133043714363288,0.05200939,0.70733714,0.05200939,2026-06-03 08:51:00
model3,2025-03-11,LHC,HOLD,HOLD,0.06416107,0.8513527,0.08448625,3,Construction & Materials,72.88,18800.0,HOLD,-0.024423710208562,0.020325184,0.8513527,0.020325184,2026-06-03 08:51:00
model3,2025-03-12,LHC,HOLD,HOLD,0.064888455,0.83686054,0.098251015,3,Construction & Materials,73.27,42500.0,HOLD,-0.0173331513579909,0.03336256,0.83686054,0.03336256,2026-06-03 08:51:00
model3,2025-03-13,LHC,HOLD,HOLD,0.058425672,0.8457438,0.09583055,3,Construction & Materials,73.47,37000.0,HOLD,-0.0063971689124813,0.03740488,0.8457438,0.03740488,2026-06-03 08:51:00
model3,2025-03-14,LHC,HOLD,HOLD,0.18604463,0.6615226,0.15243272,3,Construction & Materials,71.59,162510.0,BUY,0.0252828607347395,-0.03361191,0.6615226,-0.03361191,2026-06-03 08:51:00
model3,2025-03-17,LHC,HOLD,HOLD,0.18671145,0.6835987,0.12968984,3,Construction & Materials,72.68,384900.0,HOLD,0.0181618051733625,-0.057021603,0.6835987,-0.057021603,2026-06-03 08:51:00
model3,2025-03-18,LHC,HOLD,HOLD,0.20393594,0.6474346,0.14862946,3,Construction & Materials,71.1,11400.0,BUY,0.0478199718706049,-0.05530648,0.6474346,-0.05530648,2026-06-03 08:51:00
model3,2025-03-19,LHC,HOLD,HOLD,0.123914056,0.7447345,0.13135137,3,Construction & Materials,72.0,11700.0,BUY,0.0361111111111109,0.007437311,0.7447345,0.007437311,2026-06-03 08:51:00
