time,symbol,low
2018-11-01 07:00:00,ACV,47.98
2018-11-02 07:00:00,ACV,48.28
2018-11-05 07:00:00,ACV,47.44
2018-11-06 07:00:00,ACV,47.92
2018-11-07 07:00:00,ACV,48.04
2018-11-08 07:00:00,ACV,48.28
2018-11-09 07:00:00,ACV,47.5
2018-11-12 07:00:00,ACV,47.98
2018-11-13 07:00:00,ACV,48.88
2018-11-14 07:00:00,ACV,48.88
2018-11-15 07:00:00,ACV,47.98
2018-11-16 07:00:00,ACV,48.1
2018-11-19 07:00:00,ACV,41.98
2018-11-20 07:00:00,ACV,47.98
2018-11-21 07:00:00,ACV,47.56
2018-11-22 07:00:00,ACV,47.38
2018-11-23 07:00:00,ACV,47.38
2018-11-26 07:00:00,ACV,47.68
2018-11-27 07:00:00,ACV,47.8
2018-11-28 07:00:00,ACV,46.84
2018-11-29 07:00:00,ACV,47.14
2018-11-30 07:00:00,ACV,47.68
2018-12-03 07:00:00,ACV,47.98
2018-12-04 07:00:00,ACV,48.58
2018-12-05 07:00:00,ACV,48.34
2018-12-06 07:00:00,ACV,48.52
2018-12-07 07:00:00,ACV,48.52
2018-12-10 07:00:00,ACV,47.98
2018-12-11 07:00:00,ACV,47.86
2018-12-12 07:00:00,ACV,48.16
2018-12-13 07:00:00,ACV,49.18
2018-12-14 07:00:00,ACV,50.44
2018-12-17 07:00:00,ACV,49.54
2018-12-18 07:00:00,ACV,49.0
2018-12-19 07:00:00,ACV,49.18
2018-12-20 07:00:00,ACV,49.78
2018-12-21 07:00:00,ACV,49.72
2018-12-24 07:00:00,ACV,49.78
2018-12-25 07:00:00,ACV,47.98
2018-12-26 07:00:00,ACV,49.18
2018-12-27 07:00:00,ACV,50.26
2018-12-28 07:00:00,ACV,51.58
2019-01-02 07:00:00,ACV,52.96
2019-01-03 07:00:00,ACV,51.58
2019-01-04 07:00:00,ACV,50.32
2019-01-07 07:00:00,ACV,50.68
2019-01-08 07:00:00,ACV,50.98
2019-01-09 07:00:00,ACV,52.6
2019-01-10 07:00:00,ACV,52.24
