time,symbol,open
2023-05-05 07:00:00,SSH,65.0
2023-05-08 07:00:00,SSH,64.8
2023-05-09 07:00:00,SSH,66.0
2023-05-10 07:00:00,SSH,65.8
2023-05-11 07:00:00,SSH,67.0
2023-05-12 07:00:00,SSH,67.0
2023-05-15 07:00:00,SSH,66.4
2023-05-16 07:00:00,SSH,66.1
2023-05-17 07:00:00,SSH,65.3
2023-05-18 07:00:00,SSH,64.4
2023-05-19 07:00:00,SSH,64.8
2023-05-22 07:00:00,SSH,66.3
2023-05-23 07:00:00,SSH,66.7
2023-05-24 07:00:00,SSH,66.2
2023-05-25 07:00:00,SSH,66.3
2023-05-26 07:00:00,SSH,66.5
2023-05-29 07:00:00,SSH,66.1
2023-05-30 07:00:00,SSH,66.1
2023-05-31 07:00:00,SSH,65.7
2023-06-01 07:00:00,SSH,65.2
2023-06-02 07:00:00,SSH,65.2
2023-06-05 07:00:00,SSH,65.5
2023-06-06 07:00:00,SSH,66.5
2023-06-07 07:00:00,SSH,65.7
2023-06-08 07:00:00,SSH,65.9
2023-06-09 07:00:00,SSH,65.6
2023-06-12 07:00:00,SSH,65.2
2023-06-13 07:00:00,SSH,65.2
2023-06-14 07:00:00,SSH,65.8
2023-06-15 07:00:00,SSH,65.4
2023-06-16 07:00:00,SSH,65.7
2023-06-19 07:00:00,SSH,65.6
2023-06-20 07:00:00,SSH,65.0
2023-06-21 07:00:00,SSH,65.0
2023-06-22 07:00:00,SSH,65.1
2023-06-23 07:00:00,SSH,65.0
2023-06-26 07:00:00,SSH,65.2
2023-06-27 07:00:00,SSH,65.4
2023-06-28 07:00:00,SSH,64.5
2023-06-29 07:00:00,SSH,63.8
2023-06-30 07:00:00,SSH,63.5
2023-07-03 07:00:00,SSH,63.9
2023-07-04 07:00:00,SSH,64.4
2023-07-05 07:00:00,SSH,64.6
2023-07-06 07:00:00,SSH,64.5
2023-07-07 07:00:00,SSH,63.8
2023-07-10 07:00:00,SSH,63.8
2023-07-11 07:00:00,SSH,64.5
