time,symbol,volume
2021-02-02 07:00:00,KDC,1773100.0
2021-02-03 07:00:00,KDC,1126900.0
2021-02-04 07:00:00,KDC,660400.0
2021-02-05 07:00:00,KDC,506000.0
2021-02-08 07:00:00,KDC,975800.0
2021-02-09 07:00:00,KDC,847400.0
2021-02-17 07:00:00,KDC,1759800.0
2021-02-18 07:00:00,KDC,1260900.0
2021-02-19 07:00:00,KDC,615800.0
2021-02-22 07:00:00,KDC,1504700.0
2021-02-23 07:00:00,KDC,850800.0
2021-02-24 07:00:00,KDC,959800.0
2021-02-25 07:00:00,KDC,898900.0
2021-02-26 07:00:00,KDC,782300.0
2021-03-01 07:00:00,KDC,1428300.0
2021-03-02 07:00:00,KDC,1086600.0
2021-03-03 07:00:00,KDC,759100.0
2021-03-05 07:00:00,KDC,1495000.0
2021-03-08 07:00:00,KDC,2666700.0
2021-03-09 07:00:00,KDC,1131400.0
2021-03-10 07:00:00,KDC,1317200.0
2021-03-11 07:00:00,KDC,1489600.0
2021-03-12 07:00:00,KDC,1266800.0
2021-03-15 07:00:00,KDC,1316600.0
2021-03-16 07:00:00,KDC,1097500.0
2021-03-17 07:00:00,KDC,48985200.0
2021-03-18 07:00:00,KDC,1046700.0
2021-03-19 07:00:00,KDC,819200.0
2021-03-22 07:00:00,KDC,2116500.0
2021-03-23 07:00:00,KDC,1082600.0
2021-03-24 07:00:00,KDC,973500.0
2021-03-25 07:00:00,KDC,1571800.0
2021-03-26 07:00:00,KDC,1807100.0
2021-03-29 07:00:00,KDC,2477900.0
2021-03-30 07:00:00,KDC,1222000.0
2021-03-31 07:00:00,KDC,970500.0
2021-04-01 07:00:00,KDC,906900.0
2021-04-05 07:00:00,KDC,744600.0
2021-04-06 07:00:00,KDC,768400.0
2021-04-07 07:00:00,KDC,969900.0
2021-04-08 07:00:00,KDC,673900.0
2021-04-09 07:00:00,KDC,1203000.0
2021-04-12 07:00:00,KDC,1400900.0
2021-04-13 07:00:00,KDC,1255400.0
2021-04-14 07:00:00,KDC,1246800.0
2021-04-15 07:00:00,KDC,863500.0
2021-04-16 07:00:00,KDC,996600.0
2021-04-19 07:00:00,KDC,1144400.0
2021-04-20 07:00:00,KDC,1577100.0
2021-04-22 07:00:00,KDC,770600.0
2021-04-23 07:00:00,???,1444800.0
2021-04-26 07:00:00,KDC,937700.0
2021-04-27 07:00:00,KDC,1137300.0
2021-04-28 07:00:00,KDC,1350200.0
2021-04-29 07:00:00,KDC,1395800.0
2021-05-04 07:00:00,KDC,736300.0
2021-05-05 07:00:00,KDC,1359700.0
2021-05-06 07:00:00,KDC,984700.0
2021-05-07 07:00:00,KDC,1660000.0
2021-05-10 07:00:00,KDC,1010200.0
2021-05-11 07:00:00,KDC,1286900.0
2021-05-12 07:00:00,KDC,990400.0
2021-05-13 07:00:00,KDC,1235300.0
2021-05-14 07:00:00,KDC,1181300.0
2021-05-17 07:00:00,KDC,1429000.0
2021-05-18 07:00:00,KDC,1100100.0
2021-05-19 07:00:00,KDC,1345000.0
2021-05-20 07:00:00,KDC,1279400.0
2021-05-21 07:00:00,KDC,1095100.0
2021-05-24 07:00:00,KDC,2402200.0
2021-05-25 07:00:00,KDC,1402400.0
2021-05-26 07:00:00,KDC,1501000.0
2021-05-27 07:00:00,KDC,1007500.0
2021-05-28 07:00:00,KDC,1127100.0
2021-05-31 07:00:00,KDC,1078300.0
2021-06-01 07:00:00,KDC,919900.0
2021-06-02 07:00:00,KDC,1132600.0
2021-06-03 07:00:00,KDC,1309100.0
2021-06-04 07:00:00,KDC,1460500.0
2021-06-07 07:00:00,KDC,1791000.0
2021-06-08 07:00:00,KDC,1420000.0
2021-06-09 07:00:00,KDC,1348900.0
2021-06-10 07:00:00,KDC,1186000.0
2021-06-11 07:00:00,KDC,1315300.0
2021-06-14 07:00:00,KDC,2795000.0
2021-06-15 07:00:00,KDC,3458100.0
2021-06-16 07:00:00,KDC,980800.0
2021-06-17 07:00:00,KDC,1571000.0
2021-06-18 07:00:00,KDC,1320000.0
2021-06-21 07:00:00,KDC,1920700.0
2021-06-22 07:00:00,KDC,1638500.0
2021-06-23 07:00:00,KDC,918000.0
2021-06-24 07:00:00,KDC,1107300.0
2021-06-25 07:00:00,KDC,1677000.0
2021-06-28 07:00:00,KDC,1164400.0
2021-06-29 07:00:00,KDC,1194000.0
2021-06-30 07:00:00,KDC,1479000.0
2021-07-01 07:00:00,KDC,1637000.0
2021-07-02 07:00:00,KDC,1769900.0
2021-07-05 07:00:00,KDC,1728000.0
2021-07-06 07:00:00,KDC,1472100.0
2021-07-07 07:00:00,KDC,1704800.0
2021-07-08 07:00:00,KDC,1669500.0
2021-07-09 07:00:00,KDC,1686200.0
