model_run_id,prediction_date,rank,target_date,symbol,real_close,predicted_close,actual_return,predicted_return,direction_correct,model_name,created_at
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,4,2025-10-10,ACM,0.5,0.80638754,-0.16666666666666663,0.34397923946380615,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,5,2025-10-10,MPT,0.7,0.9387233,0.0,0.34103332247052887,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,6,2025-10-17,G20,0.7,0.8983716,0.0,0.2833879675183979,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,7,2025-10-10,JOS,0.9,1.2126082,-0.09999999999999998,0.2126082181930542,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,8,2025-10-10,PXA,0.8,0.9623713,0.0,0.20296411216259003,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,9,2025-10-10,VKC,1.0,1.1641743,0.0,0.16417431831359863,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,10,2025-10-10,STT,1.3,1.7022321,-0.1333333333333333,0.13482141494750977,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,1,2025-09-15,CTR,90.33,92.23361,0.0571094207138676,0.07938691703390144,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,2,2025-09-15,HHG,1.5,1.6924424,-0.0625,0.05777651071548462,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,3,2025-09-15,PV2,3.0,2.9506993,0.0714285714285714,0.05382118906293609,1,model1,2026-06-15 06:49:36
