Top_K,Min_Volume,Min_Close,Min_Predicted_Return,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
10,100000,5.0,0.004,0.001,0.001,0.004,32096,246,393,393,-0.0013006518262794035,-0.005300651826279405,-0.511431300392622,-0.8992537765270691,-0.10853721797692273,47.07379134860051,-0.6450063804627625,-2.6286467903881277
20,200000,10.0,0.02,0.001,0.001,0.004,22502,159,393,346,-0.0012013763659235778,-0.004723004864651315,-0.6073763197273221,-0.9024441648510437,0.22999887777512873,43.25699745547074,-0.3946834888495816,-1.5506871288164574
10,200000,10.0,0.02,0.001,0.001,0.004,22502,159,393,346,-0.0012006208256744697,-0.004722249324402207,-0.6082438671195108,-0.9026615238055546,0.22999887777512873,43.25699745547074,-0.3932941297683741,-1.545959141718046
5,100000,5.0,0.0,0.001,0.001,0.004,32096,246,393,393,-0.0013181215712404705,-0.005318121571240471,-0.5440036245888089,-0.9060199858737599,-0.10853721797692273,46.81933842239186,-0.5709158529961338,-2.3034293493312283
5,100000,5.0,0.004,0.001,0.001,0.004,32096,246,393,393,-0.0013181215712404705,-0.005318121571240471,-0.5440036245888089,-0.9060199858737599,-0.10853721797692273,46.81933842239186,-0.5709158529961338,-2.3034293493312283
5,100000,5.0,0.01,0.001,0.001,0.004,32096,246,393,393,-0.0013681237474011984,-0.005368123747401199,-0.5537827768059929,-0.9080442247251862,-0.10853721797692273,46.81933842239186,-0.5903278700896069,-2.3162766264384578
10,200000,5.0,0.0,0.001,0.001,0.004,26420,197,393,393,-0.0015448713714956656,-0.005544871371495666,-0.5617206142504685,-0.90966812740108,-0.06038136208490308,49.61832061068702,-0.7446892269659171,-2.672847753833943
5,200000,5.0,0.02,0.001,0.001,0.004,26420,197,393,374,-0.0012968625369059329,-0.005103478312987359,-0.598732962772191,-0.9108506349414833,-0.06038136208490308,45.5470737913486,-0.4554731989804013,-1.791856815807342
5,50000,5.0,0.01,0.001,0.001,0.004,38938,282,393,393,-0.0015916775380203079,-0.005591677538020308,-0.5831683671747081,-0.9141165783704968,-0.17740318868045735,46.56488549618321,-0.7139122760289477,-2.5080251135246514
5,50000,5.0,0.0,0.001,0.001,0.004,38938,282,393,393,-0.001596535004502154,-0.005596535004502155,-0.5840102588372907,-0.9142907807837468,-0.17740318868045735,46.56488549618321,-0.7159496588481465,-2.509708409716001
5,50000,5.0,0.004,0.001,0.001,0.004,38938,282,393,393,-0.001596535004502154,-0.005596535004502155,-0.5840102588372907,-0.9142907807837468,-0.17740318868045735,46.56488549618321,-0.7159496588481465,-2.509708409716001
10,200000,5.0,0.004,0.001,0.001,0.004,26420,197,393,393,-0.0017304323136886166,-0.005730432313688616,-0.5954185424985298,-0.9166430246549877,-0.06038136208490308,49.10941475826972,-0.8226442445222764,-2.7242366685997363
20,200000,5.0,0.02,0.001,0.001,0.004,26420,197,393,374,-0.0016956041356149993,-0.005502219911696427,-0.6536014217358319,-0.9230832044275621,-0.06038136208490308,45.29262086513995,-0.6031170593942805,-1.9564241066089525
10,200000,5.0,0.02,0.001,0.001,0.004,26420,197,393,374,-0.0017201657285012566,-0.0055267815045826835,-0.6567936324031411,-0.9237947791071018,-0.06038136208490308,45.29262086513995,-0.6122863063620458,-1.9665419392122794
20,200000,5.0,0.01,0.001,0.001,0.004,26420,197,393,393,-0.002210001860678852,-0.006210001860678852,-0.6723919267786349,-0.9325653996333113,-0.06038136208490308,48.346055979643765,-1.0008713004907748,-2.812401540892173
10,200000,5.0,0.01,0.001,0.001,0.004,26420,197,393,393,-0.002370343687656141,-0.006370343687656141,-0.6944853192314198,-0.9371324466257294,-0.06038136208490308,48.091603053435115,-1.0589485726533494,-2.845944404807067
5,200000,5.0,0.01,0.001,0.001,0.004,26420,197,393,393,-0.0026900792860596583,-0.006690079286059659,-0.7420439016217025,-0.9469643363516826,-0.06038136208490308,45.5470737913486,-1.1094927583726368,-2.7592474910634883
5,200000,5.0,0.0,0.001,0.001,0.004,26420,197,393,393,-0.0029830057313962478,-0.006983005731396249,-0.7670138789759716,-0.9521151749375234,-0.06038136208490308,45.80152671755725,-1.2608401850751363,-2.9515378217638575
5,200000,5.0,0.004,0.001,0.001,0.004,26420,197,393,393,-0.002983874325022926,-0.006983874325022927,-0.767772089185056,-0.9522723001273166,-0.06038136208490308,45.80152671755725,-1.255627628039408,-2.9388454733885228
