trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_predicted_return,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-04-04,"CTR,VJC,MPC,ASM,EVG,IDI,DRI,AFX,GSP,HBS",10,0.01695889470405426,0.01385011014112217,0.050754031367120554,0.004,0.012958894704054261,-0.4805761086382657,-0.6680791847440832,-0.40485755436966564
2025-04-08,"VJC,TVN,DRI,HIO,OIL,MPC,ASM,S99,VIG,LAI",10,0.08605244283621241,0.08160670437345073,0.057520914296336635,0.004,0.08205244283621241,-0.4358784139190971,-0.6408442710241482,-0.35628994074901843
2025-04-09,"TVN,IDI,DRI,HCD,IJC,POW,ASM,VIG,VPG,DPR",10,0.12329067097950237,0.10608068871948985,0.04095895606915782,0.004,0.11929067097950237,-0.3663274850571615,-0.5980003431284865,-0.28800473432801066
2025-04-10,"DGC,CTP,ASM,NVL,IDI,IJC,BCM,POW,DRI,CSM",10,0.02619639311614099,0.020444914454102917,0.02114801915155904,0.004,0.02219639311614099,-0.3497275507488251,-0.5890774007120125,-0.2734480520296205
2025-04-11,"VJC,FRT,KDC,CTR,BCM,EVG,TCI,OIL,IDI,SAM",10,0.0005921422956544741,0.0034142685017335044,0.03148151589961619,0.004,-0.0034078577043455257,-0.34934249692792463,-0.5904777664578857,-0.2709674085987921
2025-04-14,"VJC,FRT,DGC,CTR,CTP,BCM,EVG,VCC,DST,IDI",10,-0.013368560140528628,-0.013481083037305093,0.03344330823102408,0.004,-0.01736856014052863,-0.3580408508886299,-0.5975905780000457,-0.28079555750037355
2025-04-15,"VJC,FRT,DGC,S99,VHC,BCM,EVG,OIL,TVN,MSB",10,-0.010210346018883043,-0.017837401415290728,0.04099518920251573,0.004,-0.014210346018883043,-0.3645954759310447,-0.6033089551279237,-0.2936242958408998
2025-04-16,"VJC,FRT,DGC,SAM,IDI,EVG,ASM,UDC,VIG,TVN",10,0.021498764230364655,0.013014178930770354,0.04490286985949661,0.004,0.017498764230364654,-0.3509350638771792,-0.5963673520614103,-0.2844313960346244
2025-04-17,"FRT,VJC,DGC,APP,TRC,ACV,VIG,IJC,ASM,SAM",10,0.03746533239222074,0.02306731680141207,0.04530968115127905,0.004,0.03346533239222074,-0.32661763030120217,-0.5828596513337931,-0.26792514835381087
2025-04-18,"VJC,FRT,CTR,DGC,EVS,AVG,IDI,TVN,CST,SAM",10,0.0043582613019517045,0.01110590892214596,0.04390323786488119,0.004,0.00035826130195170443,-0.3236828539779274,-0.5827102060893834,-0.25979479172723485
2025-04-21,"VEF,VJC,FRT,DGC,APP,VPH,UDC,CTR,IDI,CST",10,0.016557869332198105,0.017087532289669093,0.059593605351160164,0.004,0.012557869332198105,-0.31248448304696874,-0.577469935383794,-0.24714651132989274
2025-04-22,"VJC,DGC,FRT,EVS,IDI,VPH,TCI,ASM,CTR,BMS",10,0.06894931769818162,0.03942760075292353,0.030925717060382586,0.004,0.06494931769818162,-0.26508075724614455,-0.5500268959800029,-0.2174633045531621
2025-04-23,"VJC,DGC,TRC,HAP,EVG,CSM,ACV,GEE,SAM,EVS",10,0.052118342435034305,0.03998680012953913,0.030844193539162058,0.004,0.04811834243503431,-0.22677798449020303,-0.5283749360742134,-0.18617216611829934
2025-04-24,"VJC,CTR,DGC,BCM,TVN,EVS,TRC,POW,BMS,KDC",10,0.02469964474425066,0.027346181905096696,0.03412685346443896,0.004,0.02069964474425066,-0.2076796753986776,-0.5186124647984651,-0.16391708213353962
2025-04-25,"CTR,VJC,DGC,EVG,BCM,EVS,THT,SAM,TVN,TDC",10,0.01575437037644991,0.02560548061956218,0.03257612222075821,0.004,0.01175437037644991,-0.19519716754811933,-0.5129540574150999,-0.14250877718376287
2025-04-28,"CTR,VJC,DGC,EVG,BCM,KDC,ASM,IDI,FRT,TVN",10,0.03049106190226205,0.03219387949478034,0.03198526918855886,0.004,0.02649106190226205,-0.17065787456471326,-0.5000516932008376,-0.11490280808858522
2025-04-29,"VJC,CTR,DGC,TVN,EVG,IDI,HAP,SAM,THG,ASM",10,0.032105871803147404,0.028555425416567155,0.03888979586723258,0.004,0.028105871803147404,-0.1440311226045381,-0.4860002101817398,-0.08962848123854572
2025-05-05,"VJC,CTR,DGC,HAP,THT,IDI,VPH,KDC,ASM,EVG",10,0.013319723103537805,0.023409721066858995,0.033832565248914516,0.004,0.009319723103537805,-0.1326298541723845,-0.481209874465357,-0.06831693791712734
2025-05-06,"VJC,CTR,DGC,HAP,PHC,KDC,UDC,SAM,EVG,BCM",10,0.016577788976017326,0.024448676618111054,0.03417388348040449,0.004,0.012577788976017325,-0.11825077493075697,-0.47468464174354075,-0.045538520021691675
2025-05-07,"VJC,DGC,FRT,CTR,HAP,KDC,TS3,SAM,ASM,EVG",10,0.024446895998646266,0.024025495669031997,0.03584346064997823,0.004,0.020446895998646266,-0.09669474332860217,-0.46394357324677926,-0.022607109868214903
2025-05-08,"VJC,DGC,FRT,CTR,VTD,IDI,EVG,ASM,SAM,KDC",10,0.022205038572061686,0.013963933649139112,0.03262947455863356,0.004,0.018205038572061686,-0.07663681526186783,-0.4541846453209353,-0.00895886040127436
2025-05-09,"VJC,DGC,FRT,KDC,HAP,CTR,EVG,IDI,SAM,VTD",10,0.007646164383508391,0.01167623706324944,0.03524360486858742,0.004,0.003646164383508391,-0.06957662856568025,-0.45219451281473244,0.002612770884113269
2025-05-12,"VEF,FRT,VJC,DGC,CTR,HAP,SAM,ACV,KDC,DST",10,-0.005196871407574277,-0.003663293999388506,0.05822088356778752,0.004,-0.009196871407574277,-0.07441191918162615,-0.45723260943673893,-0.0010600944631767861
2025-05-13,"VJC,DGC,CTR,PHC,FRT,THT,EVG,DBD,KDC,MSB",10,-0.0040917672073189195,-0.001474418874263881,0.029674428522376207,0.004,-0.008091767207318919,-0.07819921013820408,-0.4616245568089008,-0.0025329503141556797
2025-05-14,"VJC,DGC,FRT,HAP,EVS,THT,VPH,HCD,EVG,ACV",10,-0.016527258893522002,-0.0034954405017237123,0.02539031830549108,0.004,-0.020527258893522003,-0.09343405044050312,-0.4726759289131992,-0.006019537038762457
2025-05-15,"VJC,DGC,VIG,HAP,VPH,MSN,IDI,KDC,SAM,LDP",10,-0.029265405255024024,-0.013505428752761492,0.027163330507262207,0.004,-0.03326540525502403,-0.11996507034476755,-0.49021757783863074,-0.0194436693629223
2025-05-16,"VJC,DGC,VPH,VIG,EVG,SAM,IDI,VHC,ACV,CRE",10,-0.006321105492429713,-0.005830738703052377,0.02768169065478676,0.004,-0.010321105492429712,-0.12552786397214122,-0.49547909599594453,-0.025161037110491002
2025-05-19,"VJC,DGC,HIO,VIG,VPH,ASM,SAM,IDI,TVN,DST",10,0.0512850508287281,0.021971284444471134,0.03865352062166829,0.004,0.047285050828728095,-0.08068051602764603,-0.47162279940595686,-0.003742572969292479
2025-05-20,"VJC,DGC,VPH,VIG,EVS,SAM,TVN,HCD,MPC,GEE",10,0.037721257652858456,0.025453235447684457,0.03456716485289853,0.004,0.03372125765285845,-0.0460026289074319,-0.45380525568682906,0.02161540188742439
2025-05-21,"VJC,DGC,VPH,IDI,VIG,ASM,HAP,TVN,EVG,DRI",10,0.03972061661724128,0.022948234527335992,0.032962982012035714,0.004,0.03572061661724128,-0.008109265076407968,-0.43429484262686613,0.045059671726675576
2025-05-22,"VJC,DGC,CTR,VPH,BCM,JVC,ASM,SAM,TRC,EVG",10,0.03375770560064832,0.0304552760219373,0.038334172302839864,0.004,0.02975770560064832,0.02537469034115336,-0.417460755096988,0.07688725248850647
2025-05-23,"VJC,DGC,CTR,DST,VPH,HAP,ASM,JVC,VIG,TVN",10,0.029475705915445516,0.01910227799013802,0.03598272251548049,0.004,0.025475705915445516,0.05559833316679019,-0.40262015660963313,0.09745825214957793
2025-05-26,"VJC,DGC,CTP,VPH,CTR,JVC,HAP,BMS,SAM,NHH",10,-0.00654918670532284,0.008050443416594237,0.03106255418064794,0.004,-0.01054918670532284,0.04868502259705321,-0.40892202811155465,0.1062932777105825
2025-05-27,"VJC,DGC,JVC,VPH,SAM,EVS,CTP,VIG,ASM,TCI",10,0.013287545414509449,0.002613042068450149,0.02671699606274498,0.004,0.009287545414509449,0.06261947246032729,-0.40343236460412457,0.10918406858528407
2025-05-28,"VJC,DGC,EVG,VPH,IDI,CTR,HAP,JVC,ASM,TCI",10,0.004571417299991632,0.008791449714964253,0.029034105219815486,0.004,0.0005714172999916316,0.06747714950004036,-0.40309147553664426,0.11893540454889084
2025-05-29,"VJC,DGC,VPH,JVC,ASM,HAP,PHC,EVG,CTR,EVS",10,0.03253161107925756,0.012292054794347463,0.0333732097936158,0.004,0.02853161107925756,0.10220390096357002,-0.3860607136667623,0.13268941985294114
2025-05-30,"VJC,DGC,CTR,VPH,JVC,HAP,ASM,SAM,VIG,VTD",10,0.016335468248035157,0.009949799125877987,0.03873649319100072,0.004,0.012335468248035157,0.12020891779062093,-0.3784874850939772,0.14395945205248517
2025-06-02,"VJC,DGC,CTR,JVC,GMH,HAP,VPH,HBS,BCM,ASM",10,0.0014412325358715617,-0.006808934457258526,0.035360192624731376,0.004,-0.0025587674641284384,0.12182339932991404,-0.3800777910956674,0.13617030712169842
2025-06-03,"VJC,DGC,CTR,VPH,ACV,ASM,JVC,HAP,VSH,PHC",10,-0.012400129627066247,-0.013807687229980672,0.03235198626543652,0.004,-0.016400129627066246,0.10791264375954701,-0.3902445956803957,0.12048242288097089
